smiles,m/z,I
O=S(=O)(N=C1C=NC=C(Cl)N1)C2=CC=C(N)C=C2,"[ 53.0389  54.0333  55.0178  60.0552  65.0382  66.0423  68.049   78.0333
  79.0177  92.0498  93.0532  96.0443 108.0457 109.0483 110.0609 120.0562
 130.0172 132.0138 156.0118 157.015  158.008  174.0228 184.0757 191.9647
 219.0438 285.0221 287.0184]","[  0.594951   0.566811   0.522592   0.542692   3.822962   0.506512
   7.963499   0.727609   1.057244   7.702203   0.731629   0.623091
  12.172375   1.181862   4.904325   3.095353   5.656054   1.515517
 100.         8.884065   3.891301   0.751729   0.619071   0.590931
   0.723589   3.694324   0.840167]"
O=S(=O)(NC1=NN=C(Cl)C=C1)C2=CC=C(N)C=C2,"[ 53.0389  54.0333  55.0178  60.0552  65.0382  66.0423  68.049   78.0333
  79.0177  92.0498  93.0532  96.0443 108.0457 109.0483 110.0609 120.0562
 130.0172 132.0138 156.0118 157.015  158.008  174.0228 184.0757 191.9647
 219.0438 285.0221 287.0184]","[  0.594951   0.566811   0.522592   0.542692   3.822962   0.506512
   7.963499   0.727609   1.057244   7.702203   0.731629   0.623091
  12.172375   1.181862   4.904325   3.095353   5.656054   1.515517
 100.         8.884065   3.891301   0.751729   0.619071   0.590931
   0.723589   3.694324   0.840167]"
O=S(=O)(NC=1N=C(C=C(N1)C)C)C2=CC=C(N)C=C2,"[ 53.0379  54.0335  55.0176  65.0379  68.0491  69.0329  78.0334  79.0178
  80.0489  81.0444  82.0284  92.0499  93.0558  94.0647  95.0608  96.0443
 108.0461 109.0497 110.0616 111.0651 120.0565 122.0716 123.0794 124.0872
 125.0905 126.0663 127.0697 156.0117 157.0148 158.0072 174.0224 186.0334
 187.0368 188.0128 188.0291 204.0445 205.0473 206.0406 213.1141 214.1167
 215.0927 215.1291 279.0925 280.0953 281.0725 282.0742]","[  0.894101   0.661867   0.598003   8.717487  13.013818   1.640153
   1.477589   2.261379   1.431143   1.950766   0.606712  30.58523
   2.844868   1.6866     3.027752   1.300511  33.946818   2.360079
   6.107757   0.519624   1.962378   6.078727   2.246865  71.211681
   6.398049  17.911054   0.5951    82.855318   5.739085   1.544357
   1.106015  11.263353   0.775081   1.63725    0.534138 100.
   6.972829   3.358686  18.259405   2.241059   3.071296   1.320831
  61.483976   8.438806   7.837901   1.222132]"
O=S(=O)(NC=1N=C(C=C(N1)C)C)C2=CC=C(N)C=C2,"[122.0703 124.0861 125.0892 149.0227 156.0104 157.0129 158.0061 174.0209
 186.0321 187.0346 188.0285 204.0431 213.1128 214.1159 215.1281 279.0909]","[  0.766124  36.693459   1.930893   0.828453  53.249536   2.999571
   1.778967   0.627183  22.621444   1.719235   0.646661 100.
   8.749399   1.407591   0.658348  80.894937]"
O=S(=O)(NC=1N=C(C=C(N1)C)C)C2=CC=C(N)C=C2,"[108.0441 122.0704 123.0781 124.0861 125.0889 149.0221 156.0106 158.0064
 186.0323 187.0355 196.0858 204.0429 205.0455 213.1123 214.1155 215.1283
 279.0903]","[  1.285794   6.630847   2.170942 100.         6.093546   1.388285
  50.043481   1.615007  15.118951   1.323064   1.220573  70.964035
   4.931983  22.6101     3.003292   0.804398   3.580968]"
O=S(=O)(NC=1N=C(C=C(N1)C)C)C2=CC=C(N)C=C2,"[108.0445 122.0702 123.0772 124.0862 125.089  134.0701 149.0224 154.0624
 155.0685 156.0104 157.0126 172.0852 186.0324 196.0852 197.0903 198.0888
 204.0427 205.0463 206.0375 212.1036 213.1121 214.1152]","[  1.153673   5.323878   2.202467 100.         6.847126   0.714179
   1.74799    0.644259   0.624282  10.373071   0.933926   0.564351
   3.845578   5.20901    1.378415   2.362283  15.422264   0.869001
   0.759127   0.659242  18.109174   2.577036]"
O=S(=O)(NC=1N=C(C=C(N1)C)C)C2=CC=C(N)C=C2,"[108.0453 122.0703 123.078  124.0859 125.0891 149.0231 154.0639 155.0605
 155.0714 156.01   169.0745 171.0781 172.0869 181.0634 186.1022 195.0786
 196.0859 197.0856 198.0886 199.0904 204.0438 212.1048 213.1122 214.1153]","[  1.770916   2.803951   2.792598 100.         7.90101    1.62334
   2.111477   2.46339    2.69043    2.713134   1.475763   1.555228
   1.271427   0.930866   1.033034   1.555228   7.628562   3.871041
   5.903054   0.998978   2.622318   2.327165   9.342718   1.725508]"
O=S(=O)(NC=1N=C(C=C(N1)C)C)C2=CC=C(N)C=C2,[124.086  156.0098 186.0319 279.0908],[  0.740586   1.123942   0.831793 100.      ]
O=S(=O)(NC=1N=C(N=C(OC)C1)OC)C2=CC=C(N)C=C2,"[140.0447 141.0515 154.0604 155.0683 156.0107 156.0763 157.0134 157.0794
 158.0069 218.0242 245.1032 246.1061 311.0811 312.0835 313.0796]","[  6.249276   0.699085   5.781932   3.398864 100.        16.893901
   4.171334   0.857441   2.37148    0.965586   9.010853   0.834267
  75.335059   7.14534    2.301958]"
O=S(=O)(NC=1N=C(N=C(OC)C1)OC)C2=CC=C(N)C=C2,"[108.0448 124.0204 126.0659 127.0504 138.0294 141.0517 154.0604 155.0672
 156.0105 156.0762 157.0131 157.0798 158.0071 201.0772 212.069  218.0235
 230.0808 231.0843 245.1039 246.107  311.0829]","[  1.310092   1.354502   3.563895   0.843788   1.576552  10.458532
  60.575108   5.484623 100.        63.495059   4.540913   3.45287
   2.320417   2.720107   3.896969   0.843788   9.270567   1.232375
  10.44743    1.176862   3.819252]"
