empty,InChI,MonoisotopicMass,Identifier
,"InChI=1S/C7H5Cl2FN2O3/c8-3-5(11)4(9)7(12-6(3)10)15-1-2(13)14/h1H2,(H2,11,12)(H,13,14)",253.966126,50465
,"InChI=1S/C7H5Cl2FN2O3/c8-3-5(11)4(9)7(12-6(3)10)15-2(14)1-13/h13H,1H2,(H2,11,12)",253.966126,57010914
,"InChI=1S/C7H5Cl2FN2O3/c8-1-3(11)2(9)6(10)12-4(1)5(13)7(14)15/h5,13H,(H2,11,12)(H,14,15)",253.966126,56974741
,"InChI=1S/C7H5Cl2FN2O3/c1-2(13)14-15-7-4(9)5(11)3(8)6(10)12-7/h1H3,(H2,11,12)",253.966126,88419651
,"InChI=1S/C6H11O7PS/c7-5(8)1-4(6(9)10)2-15-3-14(11,12)13/h4H,1-3H2,(H,7,8)(H,9,10)(H2,11,12,13)/p-4",253.96501,44290588
,"InChI=1S/C10H4Cl2N2O2/c11-3-1-4(12)6-5(2-3)13-7-8(14-6)10(16)9(7)15/h1-2,13-14H",253.964983,23354334
,InChI=1S/C10F2O6/c11-5-3-1(7(13)17-9(3)15)2-4(6(5)12)10(16)18-8(2)14,253.966294,91143120
,"InChI=1S/C10H4Cl2N2O2/c11-3-1-5-6(2-4(3)12)14-8-7(13-5)9(15)10(8)16/h1-2,13-14H",253.964983,23354285
,"InChI=1S/C10H4Cl2N2O2/c11-5-1-4-7(2-6(5)12)13-3-8-9(4)16-10(15)14-8/h1-3H,(H,14,15)",253.964983,22765649
,"InChI=1S/C10H4Cl2N2O2/c11-9-6-3-5(4-13)10(14-12)16-8(6)2-1-7(9)15/h1-3,15H",253.964983,85839980
,InChI=1S/C10F2O6/c11-5-1-2(8(14)17-7(1)13)6(12)4-3(5)9(15)18-10(4)16,253.966294,15457419
,InChI=1S/C10H4Cl2N2O2/c11-6-2-1-5(3-7(6)12)9-13-4-8(15)10(16)14-9/h1-4H,253.964983,76028184
,"InChI=1S/C5H6N2O6S2/c8-4-1-3(6-5(9)7-4)2-14-13-15(10,11)12/h1H,2H2,(H,10,11,12)(H2,6,7,8,9)",253.966728,67945017
,"InChI=1S/C9H9Cl3O2/c10-7-4-2-1-3-5-14-8(13)9(11,12)6-7/h7H,3-6H2",253.966813,15205979
,"InChI=1S/C9H9Cl3O2/c1-2-3-4-5(10)6(11)7(12)9(14)8(4)13/h13-14H,2-3H2,1H3",253.966813,17970459
,"InChI=1S/C9H9Cl3O2/c1-9(2,3)7-5(11)4(10)6(12)8(13)14-7/h1-3H3",253.966813,12328178
,"InChI=1S/C8H3ClN4O2S/c9-2-1-10-7-4(11-2)3-5(16-7)6(14)13-8(15)12-3/h1H,(H2,12,13,14,15)",253.966524,88187247
,"InChI=1S/C8H9Cl2O3P/c1-13-8-6(10)3-5(9)4-7(8)14(2,11)12/h3-4H,1-2H3,(H,11,12)",253.966636,70627295
,InChI=1S/C10H4Cl2N2O2/c11-5-3-6(10(16)7(12)4-5)8-1-2-9(15)14-13-8/h1-4H,253.964983,76082083
,"InChI=1S/C5H6N2O6S2/c1-5(15(12,13)7-4-9)2-14(10,11)6-3-8/h2,4H,1H3,(H,7,9)",253.966728,56630629
,"InChI=1S/C9H9Cl3O2/c1-4-5(13)7(14)9(11,12)8(2,3)6(4)10/h1-3H3",253.966813,13776952
,InChI=1S/C10H4Cl2N2O2/c11-6-3-5(4-7(12)10(6)16)8-1-2-9(15)14-13-8/h1-4H,253.964983,73177836
,InChI=1S/C10H4Cl2N2O2/c11-5-1-2-8(15)6(3-5)10-7(12)4-9(16)13-14-10/h1-4H,253.964983,76140215
,"InChI=1S/C9H9Cl3O2/c1-5-2-3-6(4-7(5)13)8(14)9(10,11)12/h2-4,8,13-14H,1H3",253.966813,69998828
,"InChI=1S/C9H9Cl3O2/c1-5-2-3-6(7(13)4-5)8(14)9(10,11)12/h2-4,8,13-14H,1H3",253.966813,69994244
,"InChI=1S/C9H9Cl3O2/c1-5-2-3-7(13)6(4-5)8(14)9(10,11)12/h2-4,8,13-14H,1H3",253.966813,12516845
,"InChI=1S/C9H9Cl3O2/c1-2-3-4-5(10)8(13)7(12)9(14)6(4)11/h13-14H,2-3H2,1H3",253.966813,71410051
,"InChI=1S/C8H9Cl2O3P/c1-12-7-4-3-6(14(9,10)11)5-8(7)13-2/h3-5H,1-2H3",253.966636,20548445
,"InChI=1S/C8H9Cl2O3P/c1-12-6-3-4-8(14(9,10)11)7(5-6)13-2/h3-5H,1-2H3",253.966636,20548444
,"InChI=1S/C8H9Cl2O3P/c1-12-6-3-7(13-2)5-8(4-6)14(9,10)11/h3-5H,1-2H3",253.966636,2784256
,"InChI=1S/C9H9Cl3O2/c10-9(11,12)6-3-1-4-5(2-3)8(13)14-7(4)6/h3-7H,1-2H2",253.966813,263772
,"InChI=1S/C9H9Cl3O2/c1-5(13)14-6-3-2-4-8(11)7(10)9(6,8)12/h2-3,6-7H,4H2,1H3",253.966813,14939378
